root_lot_id,wafer_id,product_id,route_id,fdc_cvd_pressure_slope_p95,fdc_cvd_rf_power_std,fdc_etch_temp_range,metro_thk_edge_wl128,metro_thk_edge_wl160,metro_cd_center_wl160,queue_time_before_etch,prev_defect_count_after_metro,recipe_ppid_77a_flag,final_eds_proxy_leakage_feature
LOT1000,LOT1000_W01,PRODB,ROUTE_Y,-0.0962,-0.3026,-0.0444,-0.036,0.4035,-0.2551,1.7892,1,0,1.7517
LOT1000,LOT1000_W02,PRODA,ROUTE_Y,1.128,0.4684,1.2906,1.7468,0.3306,-0.0811,1.7802,3,0,7.2696
LOT1000,LOT1000_W03,PRODB,ROUTE_X,-2.2807,-0.9396,0.411,-2.2881,-2.585,-0.3515,0.6119,0,0,-0.1326
LOT1000,LOT1000_W04,PRODB,ROUTE_X,-1.4966,-0.1932,0.7826,-2.7399,-0.2725,1.3973,1.8692,0,0,-0.2294
LOT1000,LOT1000_W05,PRODA,ROUTE_X,-0.9229,-1.3612,-0.9009,-1.0278,-0.5728,-1.5249,6.3809,1,0,0.0262
LOT1001,LOT1001_W01,PRODB,ROUTE_Y,1.4612,-0.2068,0.524,1.3716,1.2336,1.0621,2.3746,2,0,13.5498
LOT1001,LOT1001_W02,PRODB,ROUTE_Y,0.2826,1.1355,0.7287,1.4354,0.0636,-1.8367,0.4962,4,0,2.066
LOT1001,LOT1001_W03,PRODB,ROUTE_X,0.7673,0.0126,-0.5766,-0.0341,0.3649,0.3707,0.7361,1,0,-0.0897
LOT1001,LOT1001_W04,PRODA,ROUTE_X,-1.1402,-1.8452,0.5595,-1.355,-1.4824,1.3471,1.6167,1,0,0.498
LOT1001,LOT1001_W05,PRODA,ROUTE_Y,1.0805,1.5397,0.5662,2.0187,1.4009,0.7048,0.752,3,1,14.386
LOT1002,LOT1002_W01,PRODA,ROUTE_X,2.6478,2.3409,-0.5496,2.8953,2.9029,0.7002,3.8109,4,1,19.5607
LOT1002,LOT1002_W02,PRODB,ROUTE_Y,0.0583,-1.3485,-1.1228,0.3681,-0.372,-0.5488,0.4372,1,0,0.4092
LOT1002,LOT1002_W03,PRODB,ROUTE_X,2.7487,2.1809,-1.1841,2.8118,2.8728,0.5808,2.3864,3,1,18.2911
LOT1002,LOT1002_W04,PRODB,ROUTE_X,-0.1877,0.5682,0.0865,-0.0062,-0.7822,-0.2896,0.3449,1,0,0.3742
LOT1002,LOT1002_W05,PRODA,ROUTE_Y,2.4781,2.176,0.327,2.9058,2.4751,-0.2903,1.597,5,1,17.0901
LOT1003,LOT1003_W01,PRODA,ROUTE_X,2.3581,2.3478,-0.7925,1.9129,3.2118,0.1817,0.6547,4,1,19.9157
LOT1003,LOT1003_W02,PRODA,ROUTE_X,2.9778,0.825,0.0266,3.4607,2.026,0.7939,2.699,5,1,21.5969
LOT1003,LOT1003_W03,PRODA,ROUTE_X,0.807,0.7014,0.5705,0.0519,0.7921,-0.6058,3.3892,2,0,2.7816
LOT1003,LOT1003_W04,PRODB,ROUTE_X,0.5801,0.6177,0.6182,0.7607,0.2276,-0.6903,2.1331,3,1,5.2739
LOT1003,LOT1003_W05,PRODB,ROUTE_X,-2.2473,-1.5581,1.5519,-2.149,-2.3164,-1.8097,3.4956,0,0,0.1229
LOT1004,LOT1004_W01,PRODB,ROUTE_X,1.0017,1.2844,1.277,0.6628,1.023,0.5911,0.096,4,0,2.2931
LOT1004,LOT1004_W02,PRODA,ROUTE_X,3.3877,3.6252,-1.0013,3.3752,4.7797,1.2229,1.8515,4,1,27.4427
