root_lot_id,wafer_id,step_id,process_step,step_order,tool_id,chamber_id,recipe_id,ppid,start_time,end_time,days_since_pm
LOT1000,LOT1000_W01,LOT1000_W01_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,2
LOT1000,LOT1000_W01,LOT1000_W01_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,24
LOT1000,LOT1000_W02,LOT1000_W02_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,37
LOT1000,LOT1000_W02,LOT1000_W02_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,15
LOT1000,LOT1000_W03,LOT1000_W03_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,21
LOT1000,LOT1000_W03,LOT1000_W03_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,27
LOT1000,LOT1000_W04,LOT1000_W04_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,20
LOT1000,LOT1000_W04,LOT1000_W04_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,19
LOT1000,LOT1000_W05,LOT1000_W05_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,17
LOT1000,LOT1000_W05,LOT1000_W05_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,15
LOT1001,LOT1001_W01,LOT1001_W01_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,21
LOT1001,LOT1001_W01,LOT1001_W01_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,21
LOT1001,LOT1001_W02,LOT1001_W02_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,24
LOT1001,LOT1001_W02,LOT1001_W02_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,15
LOT1001,LOT1001_W03,LOT1001_W03_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,3
LOT1001,LOT1001_W03,LOT1001_W03_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,27
LOT1001,LOT1001_W04,LOT1001_W04_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,35
LOT1001,LOT1001_W04,LOT1001_W04_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,6
LOT1001,LOT1001_W05,LOT1001_W05_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_03,REC_CVD_01,PPID_77A,2026-05-10T08:00:00,2026-05-10T09:30:00,59
LOT1001,LOT1001_W05,LOT1001_W05_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,10
LOT1002,LOT1002_W01,LOT1002_W01_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_03,REC_CVD_01,PPID_77A,2026-05-10T08:00:00,2026-05-10T09:30:00,52
LOT1002,LOT1002_W01,LOT1002_W01_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,25
LOT1002,LOT1002_W02,LOT1002_W02_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,1
LOT1002,LOT1002_W02,LOT1002_W02_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,15
LOT1002,LOT1002_W03,LOT1002_W03_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_03,REC_CVD_01,PPID_77A,2026-05-10T08:00:00,2026-05-10T09:30:00,54
LOT1002,LOT1002_W03,LOT1002_W03_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,7
LOT1002,LOT1002_W04,LOT1002_W04_STEP_CVD,CVD,10,CVD_TOOL_A,CVD_CH_01,REC_CVD_01,PPID_10B,2026-05-10T08:00:00,2026-05-10T09:30:00,12
LOT1002,LOT1002_W04,LOT1002_W04_STEP_ETCH,ETCH,20,ETCH_TOOL_B,ETCH_CH_01,REC_ETCH_01,PPID_ETCH,2026-05-20T08:00:00,2026-05-20T09:30:00,6
