root_lot_id,wafer_id,target_id,feature_id,feature_value,shap_value,abs_shap_value,shap_direction
LOT1000,LOT1000_W01,defect_rate,product_id,PRODB,-0.012269,0.012269,-
LOT1000,LOT1000_W01,defect_rate,route_id,ROUTE_Y,0.060451,0.060451,+
LOT1000,LOT1000_W01,defect_rate,fdc_cvd_pressure_slope_p95,-0.0962,-0.684098,0.684098,-
LOT1000,LOT1000_W01,defect_rate,fdc_cvd_rf_power_std,-0.3026,-0.369706,0.369706,-
LOT1000,LOT1000_W01,defect_rate,fdc_etch_temp_range,-0.0444,0.006363,0.006363,+
LOT1000,LOT1000_W01,defect_rate,metro_thk_edge_wl128,-0.036,-1.243148,1.243148,-
LOT1000,LOT1000_W01,defect_rate,metro_thk_edge_wl160,0.4035,-0.096887,0.096887,-
LOT1000,LOT1000_W01,defect_rate,metro_cd_center_wl160,-0.2551,-0.019795,0.019795,-
LOT1000,LOT1000_W01,defect_rate,queue_time_before_etch,1.7892,0.014896,0.014896,+
LOT1000,LOT1000_W01,defect_rate,prev_defect_count_after_metro,1,-0.456024,0.456024,-
LOT1000,LOT1000_W01,defect_rate,recipe_ppid_77a_flag,0,-0.248728,0.248728,-
LOT1000,LOT1000_W01,defect_rate,final_eds_proxy_leakage_feature,1.7517,-1.983532,1.983532,-
LOT1000,LOT1000_W02,defect_rate,product_id,PRODA,0.034957,0.034957,+
LOT1000,LOT1000_W02,defect_rate,route_id,ROUTE_Y,0.004488,0.004488,+
LOT1000,LOT1000_W02,defect_rate,fdc_cvd_pressure_slope_p95,1.128,0.049715,0.049715,+
LOT1000,LOT1000_W02,defect_rate,fdc_cvd_rf_power_std,0.4684,0.076455,0.076455,+
LOT1000,LOT1000_W02,defect_rate,fdc_etch_temp_range,1.2906,-0.189812,0.189812,-
LOT1000,LOT1000_W02,defect_rate,metro_thk_edge_wl128,1.7468,1.588434,1.588434,+
LOT1000,LOT1000_W02,defect_rate,metro_thk_edge_wl160,0.3306,-0.767476,0.767476,-
LOT1000,LOT1000_W02,defect_rate,metro_cd_center_wl160,-0.0811,-0.026829,0.026829,-
LOT1000,LOT1000_W02,defect_rate,queue_time_before_etch,1.7802,-0.078579,0.078579,-
LOT1000,LOT1000_W02,defect_rate,prev_defect_count_after_metro,3,0.248877,0.248877,+
LOT1000,LOT1000_W02,defect_rate,recipe_ppid_77a_flag,0,-0.246499,0.246499,-
LOT1000,LOT1000_W02,defect_rate,final_eds_proxy_leakage_feature,7.2696,0.058365,0.058365,+
LOT1000,LOT1000_W03,defect_rate,product_id,PRODB,-0.04239,0.04239,-
LOT1000,LOT1000_W03,defect_rate,route_id,ROUTE_X,-0.03365,0.03365,-
LOT1000,LOT1000_W03,defect_rate,fdc_cvd_pressure_slope_p95,-2.2807,-0.933752,0.933752,-
LOT1000,LOT1000_W03,defect_rate,fdc_cvd_rf_power_std,-0.9396,-0.497057,0.497057,-
LOT1000,LOT1000_W03,defect_rate,fdc_etch_temp_range,0.411,-0.030357,0.030357,-
LOT1000,LOT1000_W03,defect_rate,metro_thk_edge_wl128,-2.2881,-1.454274,1.454274,-
LOT1000,LOT1000_W03,defect_rate,metro_thk_edge_wl160,-2.585,-1.038795,1.038795,-
LOT1000,LOT1000_W03,defect_rate,metro_cd_center_wl160,-0.3515,-0.096233,0.096233,-
LOT1000,LOT1000_W03,defect_rate,queue_time_before_etch,0.6119,-0.190578,0.190578,-
LOT1000,LOT1000_W03,defect_rate,prev_defect_count_after_metro,0,-0.407918,0.407918,-
LOT1000,LOT1000_W03,defect_rate,recipe_ppid_77a_flag,0,-0.153986,0.153986,-
LOT1000,LOT1000_W03,defect_rate,final_eds_proxy_leakage_feature,-0.1326,-2.459235,2.459235,-
LOT1000,LOT1000_W04,defect_rate,product_id,PRODB,-0.055012,0.055012,-
LOT1000,LOT1000_W04,defect_rate,route_id,ROUTE_X,-0.048,0.048,-
LOT1000,LOT1000_W04,defect_rate,fdc_cvd_pressure_slope_p95,-1.4966,-0.999977,0.999977,-
LOT1000,LOT1000_W04,defect_rate,fdc_cvd_rf_power_std,-0.1932,-0.32767,0.32767,-
LOT1000,LOT1000_W04,defect_rate,fdc_etch_temp_range,0.7826,-0.012789,0.012789,-
LOT1000,LOT1000_W04,defect_rate,metro_thk_edge_wl128,-2.7399,-1.585426,1.585426,-
LOT1000,LOT1000_W04,defect_rate,metro_thk_edge_wl160,-0.2725,-0.85416,0.85416,-
LOT1000,LOT1000_W04,defect_rate,metro_cd_center_wl160,1.3973,0.175528,0.175528,+
LOT1000,LOT1000_W04,defect_rate,queue_time_before_etch,1.8692,-0.017225,0.017225,-
LOT1000,LOT1000_W04,defect_rate,prev_defect_count_after_metro,0,-0.543779,0.543779,-
LOT1000,LOT1000_W04,defect_rate,recipe_ppid_77a_flag,0,-0.237934,0.237934,-
LOT1000,LOT1000_W04,defect_rate,final_eds_proxy_leakage_feature,-0.2294,-2.739661,2.739661,-
LOT1000,LOT1000_W05,defect_rate,product_id,PRODA,0.022168,0.022168,+
LOT1000,LOT1000_W05,defect_rate,route_id,ROUTE_X,-0.018988,0.018988,-
LOT1000,LOT1000_W05,defect_rate,fdc_cvd_pressure_slope_p95,-0.9229,-0.947176,0.947176,-
LOT1000,LOT1000_W05,defect_rate,fdc_cvd_rf_power_std,-1.3612,-0.502577,0.502577,-
LOT1000,LOT1000_W05,defect_rate,fdc_etch_temp_range,-0.9009,-0.041554,0.041554,-
LOT1000,LOT1000_W05,defect_rate,metro_thk_edge_wl128,-1.0278,-1.501043,1.501043,-
LOT1000,LOT1000_W05,defect_rate,metro_thk_edge_wl160,-0.5728,-1.056623,1.056623,-
LOT1000,LOT1000_W05,defect_rate,metro_cd_center_wl160,-1.5249,-0.184351,0.184351,-
LOT1000,LOT1000_W05,defect_rate,queue_time_before_etch,6.3809,0.332461,0.332461,+
LOT1000,LOT1000_W05,defect_rate,prev_defect_count_after_metro,1,-0.486761,0.486761,-
LOT1000,LOT1000_W05,defect_rate,recipe_ppid_77a_flag,0,-0.206188,0.206188,-
LOT1000,LOT1000_W05,defect_rate,final_eds_proxy_leakage_feature,0.0262,-2.686572,2.686572,-
LOT1001,LOT1001_W01,defect_rate,product_id,PRODB,-0.078027,0.078027,-
LOT1001,LOT1001_W01,defect_rate,route_id,ROUTE_Y,0.073614,0.073614,+
LOT1001,LOT1001_W01,defect_rate,fdc_cvd_pressure_slope_p95,1.4612,1.1171,1.1171,+
LOT1001,LOT1001_W01,defect_rate,fdc_cvd_rf_power_std,-0.2068,-0.293509,0.293509,-
LOT1001,LOT1001_W01,defect_rate,fdc_etch_temp_range,0.524,0.150881,0.150881,+
LOT1001,LOT1001_W01,defect_rate,metro_thk_edge_wl128,1.3716,1.291477,1.291477,+
LOT1001,LOT1001_W01,defect_rate,metro_thk_edge_wl160,1.2336,0.074577,0.074577,+
LOT1001,LOT1001_W01,defect_rate,metro_cd_center_wl160,1.0621,0.379933,0.379933,+
LOT1001,LOT1001_W01,defect_rate,queue_time_before_etch,2.3746,0.427586,0.427586,+
