root_lot_id,wafer_id,defect_rate,bad_flag
LOT1000,LOT1000_W01,2.561,0
LOT1000,LOT1000_W02,7.9924,0
LOT1000,LOT1000_W03,0.05,0
LOT1000,LOT1000_W04,0.05,0
LOT1000,LOT1000_W05,0.05,0
LOT1001,LOT1001_W01,14.8501,0
LOT1001,LOT1001_W02,2.7798,0
LOT1001,LOT1001_W03,0.05,0
LOT1001,LOT1001_W04,0.05,0
LOT1001,LOT1001_W05,16.3429,0
LOT1002,LOT1002_W01,21.4442,1
LOT1002,LOT1002_W02,0.6162,0
LOT1002,LOT1002_W03,20.1415,1
LOT1002,LOT1002_W04,0.05,0
LOT1002,LOT1002_W05,18.7419,1
LOT1003,LOT1003_W01,21.8255,1
LOT1003,LOT1003_W02,24.3805,1
LOT1003,LOT1003_W03,2.7195,0
LOT1003,LOT1003_W04,6.1442,0
LOT1003,LOT1003_W05,0.05,0
LOT1004,LOT1004_W01,2.4618,0
LOT1004,LOT1004_W02,30.3302,1
LOT1004,LOT1004_W03,13.3694,0
LOT1004,LOT1004_W04,0.05,0
LOT1004,LOT1004_W05,16.9633,1
LOT1005,LOT1005_W01,20.179,1
LOT1005,LOT1005_W02,15.6666,0
LOT1005,LOT1005_W03,2.8272,0
LOT1005,LOT1005_W04,0.05,0
LOT1005,LOT1005_W05,0.05,0
LOT1006,LOT1006_W01,0.1986,0
LOT1006,LOT1006_W02,0.05,0
LOT1006,LOT1006_W03,10.0114,0
LOT1006,LOT1006_W04,17.9824,1
LOT1006,LOT1006_W05,30.0759,1
LOT1007,LOT1007_W01,30.1187,1
LOT1007,LOT1007_W02,0.05,0
LOT1007,LOT1007_W03,27.2757,1
LOT1007,LOT1007_W04,21.4586,1
LOT1007,LOT1007_W05,3.9369,0
LOT1008,LOT1008_W01,8.6625,0
LOT1008,LOT1008_W02,9.3184,0
LOT1008,LOT1008_W03,7.516,0
LOT1008,LOT1008_W04,0.05,0
LOT1008,LOT1008_W05,19.0924,1
LOT1009,LOT1009_W01,0.05,0
LOT1009,LOT1009_W02,15.2131,0
LOT1009,LOT1009_W03,21.5396,1
LOT1009,LOT1009_W04,0.05,0
LOT1009,LOT1009_W05,14.114,0
LOT1010,LOT1010_W01,8.4688,0
LOT1010,LOT1010_W02,17.8176,1
LOT1010,LOT1010_W03,21.7619,1
LOT1010,LOT1010_W04,13.4471,0
LOT1010,LOT1010_W05,14.436,0
LOT1011,LOT1011_W01,4.9031,0
LOT1011,LOT1011_W02,11.1099,0
LOT1011,LOT1011_W03,6.5706,0
LOT1011,LOT1011_W04,0.05,0
LOT1011,LOT1011_W05,0.05,0
LOT1012,LOT1012_W01,23.3275,1
LOT1012,LOT1012_W02,17.4026,1
LOT1012,LOT1012_W03,14.0974,0
LOT1012,LOT1012_W04,4.1788,0
LOT1012,LOT1012_W05,6.346,0
LOT1013,LOT1013_W01,1.2702,0
LOT1013,LOT1013_W02,4.5589,0
LOT1013,LOT1013_W03,13.8281,0
LOT1013,LOT1013_W04,9.4828,0
LOT1013,LOT1013_W05,3.9342,0
LOT1014,LOT1014_W01,11.3372,0
LOT1014,LOT1014_W02,0.05,0
LOT1014,LOT1014_W03,8.1301,0
LOT1014,LOT1014_W04,3.3481,0
LOT1014,LOT1014_W05,0.05,0
LOT1015,LOT1015_W01,0.05,0
LOT1015,LOT1015_W02,2.9152,0
LOT1015,LOT1015_W03,6.7288,0
LOT1015,LOT1015_W04,9.7322,0
LOT1015,LOT1015_W05,2.3444,0
LOT1016,LOT1016_W01,0.05,0
LOT1016,LOT1016_W02,0.05,0
LOT1016,LOT1016_W03,19.5237,1
LOT1016,LOT1016_W04,23.7933,1
LOT1016,LOT1016_W05,1.6705,0
LOT1017,LOT1017_W01,5.9522,0
LOT1017,LOT1017_W02,11.5973,0
LOT1017,LOT1017_W03,7.412,0
LOT1017,LOT1017_W04,14.9756,0
LOT1017,LOT1017_W05,18.2807,1
LOT1018,LOT1018_W01,0.05,0
LOT1018,LOT1018_W02,0.05,0
LOT1018,LOT1018_W03,14.7152,0
LOT1018,LOT1018_W04,0.05,0
LOT1018,LOT1018_W05,10.627,0
LOT1019,LOT1019_W01,3.983,0
LOT1019,LOT1019_W02,0.05,0
LOT1019,LOT1019_W03,2.5459,0
LOT1019,LOT1019_W04,6.4972,0
LOT1019,LOT1019_W05,0.05,0
LOT1020,LOT1020_W01,0.05,0
LOT1020,LOT1020_W02,10.0335,0
LOT1020,LOT1020_W03,0.05,0
LOT1020,LOT1020_W04,0.05,0
LOT1020,LOT1020_W05,0.05,0
LOT1021,LOT1021_W01,0.05,0
LOT1021,LOT1021_W02,9.8745,0
LOT1021,LOT1021_W03,20.6656,1
LOT1021,LOT1021_W04,3.0219,0
LOT1021,LOT1021_W05,0.05,0
LOT1022,LOT1022_W01,5.8379,0
LOT1022,LOT1022_W02,13.5263,0
LOT1022,LOT1022_W03,0.05,0
LOT1022,LOT1022_W04,0.05,0
LOT1022,LOT1022_W05,13.0136,0
LOT1023,LOT1023_W01,0.05,0
LOT1023,LOT1023_W02,0.05,0
LOT1023,LOT1023_W03,10.1507,0
LOT1023,LOT1023_W04,31.2149,1
LOT1023,LOT1023_W05,12.829,0
LOT1024,LOT1024_W01,11.1286,0
LOT1024,LOT1024_W02,0.05,0
LOT1024,LOT1024_W03,12.2885,0
LOT1024,LOT1024_W04,0.05,0
LOT1024,LOT1024_W05,0.05,0
LOT1025,LOT1025_W01,3.7589,0
LOT1025,LOT1025_W02,27.9198,1
LOT1025,LOT1025_W03,23.2152,1
LOT1025,LOT1025_W04,2.1076,0
LOT1025,LOT1025_W05,11.0038,0
LOT1026,LOT1026_W01,0.05,0
LOT1026,LOT1026_W02,0.2422,0
LOT1026,LOT1026_W03,28.4489,1
LOT1026,LOT1026_W04,16.3226,0
LOT1026,LOT1026_W05,18.6307,1
LOT1027,LOT1027_W01,19.4189,1
LOT1027,LOT1027_W02,2.4671,0
LOT1027,LOT1027_W03,1.615,0
LOT1027,LOT1027_W04,0.05,0
LOT1027,LOT1027_W05,3.2227,0
LOT1028,LOT1028_W01,5.1317,0
LOT1028,LOT1028_W02,0.05,0
LOT1028,LOT1028_W03,16.4099,1
LOT1028,LOT1028_W04,19.4228,1
LOT1028,LOT1028_W05,0.05,0
LOT1029,LOT1029_W01,8.4721,0
LOT1029,LOT1029_W02,15.6505,0
LOT1029,LOT1029_W03,0.05,0
LOT1029,LOT1029_W04,0.05,0
LOT1029,LOT1029_W05,12.4692,0
LOT1030,LOT1030_W01,5.1532,0
LOT1030,LOT1030_W02,0.05,0
LOT1030,LOT1030_W03,2.669,0
LOT1030,LOT1030_W04,16.4109,1
LOT1030,LOT1030_W05,0.05,0
LOT1031,LOT1031_W01,0.05,0
LOT1031,LOT1031_W02,0.05,0
LOT1031,LOT1031_W03,5.3052,0
LOT1031,LOT1031_W04,6.0478,0
LOT1031,LOT1031_W05,2.1503,0
LOT1032,LOT1032_W01,19.0943,1
LOT1032,LOT1032_W02,8.8673,0
LOT1032,LOT1032_W03,11.4684,0
LOT1032,LOT1032_W04,11.5601,0
LOT1032,LOT1032_W05,6.5504,0
LOT1033,LOT1033_W01,4.9714,0
LOT1033,LOT1033_W02,3.5747,0
LOT1033,LOT1033_W03,0.6333,0
LOT1033,LOT1033_W04,0.3118,0
LOT1033,LOT1033_W05,0.05,0
LOT1034,LOT1034_W01,11.3303,0
LOT1034,LOT1034_W02,0.05,0
LOT1034,LOT1034_W03,0.05,0
LOT1034,LOT1034_W04,2.1144,0
LOT1034,LOT1034_W05,0.05,0
LOT1035,LOT1035_W01,21.5054,1
LOT1035,LOT1035_W02,0.05,0
LOT1035,LOT1035_W03,0.05,0
LOT1035,LOT1035_W04,18.163,1
LOT1035,LOT1035_W05,0.05,0
LOT1036,LOT1036_W01,16.7012,1
LOT1036,LOT1036_W02,23.0845,1
LOT1036,LOT1036_W03,19.1643,1
LOT1036,LOT1036_W04,12.8714,0
LOT1036,LOT1036_W05,1.2685,0
LOT1037,LOT1037_W01,8.8927,0
LOT1037,LOT1037_W02,1.446,0
LOT1037,LOT1037_W03,0.05,0
LOT1037,LOT1037_W04,6.3299,0
LOT1037,LOT1037_W05,0.05,0
LOT1038,LOT1038_W01,0.05,0
LOT1038,LOT1038_W02,1.6531,0
LOT1038,LOT1038_W03,25.3211,1
LOT1038,LOT1038_W04,0.05,0
LOT1038,LOT1038_W05,16.5177,1
LOT1039,LOT1039_W01,0.9664,0
LOT1039,LOT1039_W02,15.427,0
LOT1039,LOT1039_W03,6.2295,0
LOT1039,LOT1039_W04,12.4881,0
LOT1039,LOT1039_W05,0.05,0
LOT1040,LOT1040_W01,0.05,0
LOT1040,LOT1040_W02,0.05,0
LOT1040,LOT1040_W03,18.2486,1
LOT1040,LOT1040_W04,0.2346,0
LOT1040,LOT1040_W05,15.0109,0
LOT1041,LOT1041_W01,4.9556,0
LOT1041,LOT1041_W02,1.9989,0
LOT1041,LOT1041_W03,2.188,0
LOT1041,LOT1041_W04,1.4082,0
LOT1041,LOT1041_W05,4.6728,0
LOT1042,LOT1042_W01,0.05,0
LOT1042,LOT1042_W02,0.6616,0
LOT1042,LOT1042_W03,0.05,0
LOT1042,LOT1042_W04,16.8819,1
LOT1042,LOT1042_W05,0.8895,0
LOT1043,LOT1043_W01,22.0261,1
